Data;25436 - Taxa média mensal de juros das operações de crédito com recursos livres - Total - % a.m.;25437 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Total - % a.m.;25438 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Desconto de duplicatas e recebíveis - % a.m.;25439 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Desconto de cheques - % a.m.;25440 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Antecipação de faturas de cartão de crédito - % a.m.;25441 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Capital de giro com prazo de até 365 dias - % a.m.;25442 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Capital de giro com prazo superior a 365 dias - % a.m.;25443 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Capital de giro rotativo - % a.m.;27641 - Taxa média mensal de juros não rotativo das operações de crédito com recursos livres - Total - % a.m.;27642 - Taxa média mensal de juros das operações de crédito não rotativo com recursos livres - Pessoas jurídicas - Total - % a.m.
07/1994;-;-;9,02 ;-;-;-;-;-;-;-
08/1994;-;-;6,87 ;-;-;-;-;-;-;-
09/1994;-;-;7,08 ;-;-;-;-;-;-;-
10/1994;-;-;7,55 ;-;-;-;-;-;-;-
11/1994;-;-;8,43 ;-;-;-;-;-;-;-
12/1994;-;-;8,21 ;-;-;-;-;-;-;-
01/1995;-;-;8,22 ;-;-;-;-;-;-;-
02/1995;-;-;8,36 ;-;-;-;-;-;-;-
03/1995;-;-;9,13 ;-;-;-;-;-;-;-
04/1995;-;-;9,77 ;-;-;-;-;-;-;-
05/1995;-;-;8,88 ;-;-;-;-;-;-;-
06/1995;-;-;8,56 ;-;-;-;-;-;-;-
07/1995;-;-;8,24 ;-;-;-;-;-;-;-
08/1995;-;-;8,10 ;-;-;-;-;-;-;-
09/1995;-;-;7,86 ;-;-;-;-;-;-;-
10/1995;-;-;7,73 ;-;-;-;-;-;-;-
11/1995;-;-;7,53 ;-;-;-;-;-;-;-
12/1995;-;-;7,26 ;-;-;-;-;-;-;-
01/1996;-;-;6,29 ;-;-;-;-;-;-;-
02/1996;-;-;6,27 ;-;-;-;-;-;-;-
03/1996;-;-;6,04 ;-;-;-;-;-;-;-
04/1996;-;-;5,80 ;-;-;-;-;-;-;-
05/1996;-;-;5,54 ;-;-;-;-;-;-;-
06/1996;-;-;5,23 ;-;-;-;-;-;-;-
07/1996;-;-;5,04 ;-;-;-;-;-;-;-
08/1996;-;-;4,98 ;-;-;-;-;-;-;-
09/1996;-;-;4,97 ;-;-;-;-;-;-;-
10/1996;-;-;4,99 ;-;-;-;-;-;-;-
11/1996;-;-;4,95 ;-;-;-;-;-;-;-
12/1996;-;-;4,99 ;-;-;-;-;-;-;-
01/1997;-;-;4,86 ;-;-;-;-;-;-;-
02/1997;-;-;4,85 ;-;-;-;-;-;-;-
03/1997;-;-;4,89 ;-;-;-;-;-;-;-
04/1997;-;-;4,69 ;-;-;-;-;-;-;-
05/1997;-;-;4,52 ;-;-;-;-;-;-;-
06/1997;-;-;4,26 ;-;-;-;-;-;-;-
07/1997;-;-;4,25 ;-;-;-;-;-;-;-
08/1997;-;-;4,20 ;-;-;-;-;-;-;-
09/1997;-;-;4,16 ;-;-;-;-;-;-;-
10/1997;-;-;4,20 ;-;-;-;-;-;-;-
11/1997;-;-;5,70 ;-;-;-;-;-;-;-
12/1997;-;-;5,81 ;-;-;-;-;-;-;-
01/1998;-;-;5,51 ;-;-;-;-;-;-;-
02/1998;-;-;5,53 ;-;-;-;-;-;-;-
03/1998;-;-;5,08 ;-;-;-;-;-;-;-
04/1998;-;-;4,94 ;-;-;-;-;-;-;-
05/1998;-;-;4,49 ;-;-;-;-;-;-;-
06/1998;-;-;4,32 ;-;-;-;-;-;-;-
07/1998;-;-;4,22 ;-;-;-;-;-;-;-
08/1998;-;-;4,20 ;-;-;-;-;-;-;-
09/1998;-;-;5,26 ;-;-;-;-;-;-;-
10/1998;-;-;5,56 ;-;-;-;-;-;-;-
11/1998;-;-;5,18 ;-;-;-;-;-;-;-
12/1998;-;-;5,22 ;-;-;-;-;-;-;-
01/1999;-;-;5,76 ;-;-;-;-;-;-;-
02/1999;-;-;6,20 ;-;-;-;-;-;-;-
03/1999;-;-;6,16 ;-;-;-;-;-;-;-
04/1999;-;-;5,63 ;-;-;-;-;-;-;-
05/1999;-;-;5,11 ;-;-;-;-;-;-;-
06/1999;-;-;4,48 ;-;-;-;-;-;-;-
07/1999;-;-;4,20 ;-;-;-;-;-;-;-
08/1999;-;-;4,19 ;-;-;-;-;-;-;-
09/1999;-;-;4,12 ;-;-;-;-;-;-;-
10/1999;-;-;4,04 ;-;-;-;-;-;-;-
11/1999;-;-;3,86 ;-;-;-;-;-;-;-
12/1999;-;-;3,65 ;-;-;-;-;-;-;-
01/2000;-;-;3,70 ;-;-;-;-;-;-;-
02/2000;-;-;3,76 ;-;-;-;-;-;-;-
03/2000;-;-;3,66 ;-;-;-;-;-;-;-
04/2000;-;-;3,68 ;-;-;-;-;-;-;-
05/2000;-;-;3,44 ;-;-;-;-;-;-;-
06/2000;-;-;3,24 ;-;-;-;-;-;-;-
07/2000;-;-;3,10 ;-;-;-;-;-;-;-
08/2000;-;-;3,11 ;-;-;-;-;-;-;-
09/2000;-;-;3,07 ;-;-;-;-;-;-;-
10/2000;-;-;3,13 ;-;-;-;-;-;-;-
11/2000;-;-;3,09 ;-;-;-;-;-;-;-
12/2000;-;-;3,12 ;-;-;-;-;-;-;-
01/2001;-;-;2,97 ;-;-;-;-;-;-;-
02/2001;-;-;3,10 ;-;-;-;-;-;-;-
03/2001;-;-;2,97 ;-;-;-;-;-;-;-
04/2001;-;-;3,17 ;-;-;-;-;-;-;-
05/2001;-;-;3,17 ;-;-;-;-;-;-;-
06/2001;-;-;3,20 ;-;-;-;-;-;-;-
07/2001;-;-;3,38 ;-;-;-;-;-;-;-
08/2001;-;-;3,52 ;-;-;-;-;-;-;-
09/2001;-;-;3,49 ;-;-;-;-;-;-;-
10/2001;-;-;3,62 ;-;-;-;-;-;-;-
11/2001;-;-;3,45 ;-;-;-;-;-;-;-
12/2001;-;-;3,44 ;-;-;-;-;-;-;-
01/2002;-;-;3,48 ;-;-;-;-;-;-;-
02/2002;-;-;3,44 ;-;-;-;-;-;-;-
03/2002;-;-;3,36 ;-;-;-;-;-;-;-
04/2002;-;-;3,39 ;-;-;-;-;-;-;-
05/2002;-;-;3,41 ;-;-;-;-;-;-;-
06/2002;-;-;3,32 ;-;-;-;-;-;-;-
07/2002;-;-;3,39 ;-;-;-;-;-;-;-
08/2002;-;-;3,41 ;-;-;-;-;-;-;-
09/2002;-;-;3,36 ;-;-;-;-;-;-;-
10/2002;-;-;3,58 ;-;-;-;-;-;-;-
11/2002;-;-;3,64 ;-;-;-;-;-;-;-
12/2002;-;-;3,78 ;-;-;-;-;-;-;-
01/2003;-;-;3,76 ;-;-;-;-;-;-;-
02/2003;-;-;3,91 ;-;-;-;-;-;-;-
03/2003;-;-;3,84 ;-;-;-;-;-;-;-
04/2003;-;-;3,93 ;-;-;-;-;-;-;-
05/2003;-;-;3,78 ;-;-;-;-;-;-;-
06/2003;-;-;3,78 ;-;-;-;-;-;-;-
07/2003;-;-;3,69 ;-;-;-;-;-;-;-
08/2003;-;-;3,53 ;-;-;-;-;-;-;-
09/2003;-;-;3,35 ;-;-;-;-;-;-;-
10/2003;-;-;3,25 ;-;-;-;-;-;-;-
11/2003;-;-;3,16 ;-;-;-;-;-;-;-
12/2003;-;-;3,09 ;-;-;-;-;-;-;-
01/2004;-;-;3,02 ;-;-;-;-;-;-;-
02/2004;-;-;3,04 ;-;-;-;-;-;-;-
03/2004;-;-;2,94 ;-;-;-;-;-;-;-
04/2004;-;-;2,95 ;-;-;-;-;-;-;-
05/2004;-;-;2,89 ;-;-;-;-;-;-;-
06/2004;-;-;2,85 ;-;-;-;-;-;-;-
07/2004;-;-;2,85 ;-;-;-;-;-;-;-
08/2004;-;-;2,86 ;-;-;-;-;-;-;-
09/2004;-;-;2,85 ;-;-;-;-;-;-;-
10/2004;-;-;2,96 ;-;-;-;-;-;-;-
11/2004;-;-;2,88 ;-;-;-;-;-;-;-
12/2004;-;-;2,87 ;-;-;-;-;-;-;-
01/2005;-;-;3,02 ;-;-;-;-;-;-;-
02/2005;-;-;3,04 ;-;-;-;-;-;-;-
03/2005;-;-;3,08 ;-;-;-;-;-;-;-
04/2005;-;-;3,05 ;-;-;-;-;-;-;-
05/2005;-;-;3,05 ;-;-;-;-;-;-;-
06/2005;-;-;3,00 ;-;-;-;-;-;-;-
07/2005;-;-;3,01 ;-;-;-;-;-;-;-
08/2005;-;-;3,05 ;-;-;-;-;-;-;-
09/2005;-;-;3,06 ;-;-;-;-;-;-;-
10/2005;-;-;3,11 ;-;-;-;-;-;-;-
11/2005;-;-;2,96 ;-;-;-;-;-;-;-
12/2005;-;-;2,81 ;-;-;-;-;-;-;-
01/2006;-;-;2,89 ;-;-;-;-;-;-;-
02/2006;-;-;3,04 ;-;-;-;-;-;-;-
03/2006;-;-;2,87 ;-;-;-;-;-;-;-
04/2006;-;-;2,98 ;-;-;-;-;-;-;-
05/2006;-;-;2,75 ;-;-;-;-;-;-;-
06/2006;-;-;2,70 ;-;-;-;-;-;-;-
07/2006;-;-;2,67 ;-;-;-;-;-;-;-
08/2006;-;-;2,69 ;-;-;-;-;-;-;-
09/2006;-;-;2,66 ;-;-;-;-;-;-;-
10/2006;-;-;2,67 ;-;-;-;-;-;-;-
11/2006;-;-;2,61 ;-;-;-;-;-;-;-
12/2006;-;-;2,63 ;-;-;-;-;-;-;-
01/2007;-;-;2,56 ;-;-;-;-;-;-;-
