Data;25444 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Capital de giro total - % a.m.;25445 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Conta garantida - % a.m.;25446 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Cheque especial - % a.m.;25447 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Aquisição de veículos - % a.m.;25448 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Aquisição de outros bens - % a.m.;25449 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Aquisição de bens total - % a.m.;25450 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de veículos - % a.m.;25451 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de outros bens - % a.m.;25452 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil total - % a.m.;25453 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Vendor - % a.m.
06/2000;2,51 ;-;-;-;-;-;-;-;-;1,79
07/2000;2,40 ;-;-;-;-;-;-;-;-;1,68
08/2000;2,34 ;-;-;-;-;-;-;-;-;1,59
09/2000;2,33 ;-;-;-;-;-;-;-;-;1,65
10/2000;2,32 ;-;-;-;-;-;-;-;-;1,61
11/2000;2,36 ;-;-;-;-;-;-;-;-;1,61
12/2000;2,35 ;-;-;-;-;-;-;-;-;1,58
01/2001;2,26 ;-;-;-;-;-;-;-;-;1,48
02/2001;2,37 ;-;-;-;-;-;-;-;-;1,52
03/2001;2,25 ;-;-;-;-;-;-;-;-;1,56
04/2001;2,38 ;-;-;-;-;-;-;-;-;1,69
05/2001;2,40 ;-;-;-;-;-;-;-;-;1,73
06/2001;2,36 ;-;-;-;-;-;-;-;-;1,72
07/2001;2,42 ;-;-;-;-;-;-;-;-;2,01
08/2001;2,57 ;-;-;-;-;-;-;-;-;1,93
09/2001;2,53 ;-;-;-;-;-;-;-;-;2,01
10/2001;2,58 ;-;-;-;-;-;-;-;-;2,08
11/2001;2,46 ;-;-;-;-;-;-;-;-;1,89
12/2001;2,47 ;-;-;-;-;-;-;-;-;1,89
01/2002;2,53 ;-;-;-;-;-;-;-;-;1,85
02/2002;2,44 ;-;-;-;-;-;-;-;-;1,86
03/2002;2,37 ;-;-;-;-;-;-;-;-;1,78
04/2002;2,46 ;-;-;-;-;-;-;-;-;1,69
05/2002;2,47 ;-;-;-;-;-;-;-;-;1,78
06/2002;2,39 ;-;-;-;-;-;-;-;-;1,83
07/2002;2,36 ;-;-;-;-;-;-;-;-;1,89
08/2002;2,35 ;-;-;-;-;-;-;-;-;1,90
09/2002;2,30 ;-;-;-;-;-;-;-;-;1,92
10/2002;2,42 ;-;-;-;-;-;-;-;-;2,12
11/2002;2,58 ;-;-;-;-;-;-;-;-;2,20
12/2002;2,59 ;-;-;-;-;-;-;-;-;2,38
01/2003;2,65 ;-;-;-;-;-;-;-;-;2,35
02/2003;2,82 ;-;-;-;-;-;-;-;-;2,43
03/2003;2,86 ;-;-;-;-;-;-;-;-;2,42
04/2003;2,89 ;-;-;-;-;-;-;-;-;2,46
05/2003;2,83 ;-;-;-;-;-;-;-;-;2,37
06/2003;2,78 ;-;-;-;-;-;-;-;-;2,33
07/2003;2,71 ;-;-;-;-;-;-;-;-;2,24
08/2003;2,63 ;-;-;-;-;-;-;-;-;2,14
09/2003;2,46 ;-;-;-;-;-;-;-;-;1,94
10/2003;2,38 ;-;-;-;-;-;-;-;-;1,82
11/2003;2,38 ;-;-;-;-;-;-;-;-;1,79
12/2003;2,28 ;-;-;-;-;-;-;-;-;1,69
01/2004;2,28 ;-;-;-;-;-;-;-;-;1,69
02/2004;2,35 ;-;-;-;-;-;-;-;-;1,66
03/2004;2,27 ;-;-;-;-;-;-;-;-;1,64
04/2004;2,23 ;-;-;-;-;-;-;-;-;1,64
05/2004;2,17 ;-;-;-;-;-;-;-;-;1,63
06/2004;2,18 ;-;-;-;-;-;-;-;-;1,62
07/2004;2,18 ;-;-;-;-;-;-;-;-;1,60
08/2004;2,21 ;-;-;-;-;-;-;-;-;1,63
09/2004;2,21 ;-;-;-;-;-;-;-;-;1,65
10/2004;2,28 ;-;-;-;-;-;-;-;-;1,68
11/2004;2,21 ;-;-;-;-;-;-;-;-;1,67
12/2004;2,20 ;-;-;-;-;-;-;-;-;1,72
01/2005;2,39 ;-;-;-;-;-;-;-;-;1,82
02/2005;2,37 ;-;-;-;-;-;-;-;-;1,82
03/2005;2,38 ;-;-;-;-;-;-;-;-;1,84
04/2005;2,37 ;-;-;-;-;-;-;-;-;1,88
05/2005;2,42 ;-;-;-;-;-;-;-;-;1,85
06/2005;2,34 ;-;-;-;-;-;-;-;-;1,82
07/2005;2,29 ;-;-;-;-;-;-;-;-;1,85
08/2005;2,34 ;-;-;-;-;-;-;-;-;1,82
09/2005;2,38 ;-;-;-;-;-;-;-;-;1,86
10/2005;2,39 ;-;-;-;-;-;-;-;-;1,85
11/2005;2,28 ;-;-;-;-;-;-;-;-;1,76
12/2005;2,26 ;-;-;-;-;-;-;-;-;1,70
01/2006;2,30 ;-;-;-;-;-;-;-;-;1,70
02/2006;2,30 ;-;-;-;-;-;-;-;-;1,73
03/2006;2,17 ;-;-;-;-;-;-;-;-;1,62
04/2006;2,25 ;-;-;-;-;-;-;-;-;1,68
05/2006;2,13 ;-;-;-;-;-;-;-;-;1,54
06/2006;2,05 ;-;-;-;-;-;-;-;-;1,53
07/2006;2,00 ;-;-;-;-;-;-;-;-;1,50
08/2006;2,02 ;-;-;-;-;-;-;-;-;1,45
09/2006;1,99 ;-;-;-;-;-;-;-;-;1,44
10/2006;1,98 ;-;-;-;-;-;-;-;-;1,40
11/2006;1,93 ;-;-;-;-;-;-;-;-;1,39
