Data;25454 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Compror - % a.m.;25455 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito rotativo - % a.m.;25456 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito parcelado - % a.m.;25457 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito total - % a.m.;25458 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Adiantamento sobre contratos de câmbio (ACC) - % a.m.;25459 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Financiamento a importações - % a.m.;25460 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Financiamento a exportações - % a.m.;25461 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Repasse externo - % a.m.;25462 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Total - % a.m.;27643 - Taxa média mensal de juros das operações de crédito não rotativo com recursos livres - Pessoas físicas - Total - % a.m.
06/2000;-;-;-;-;0,83 ;-;-;1,56 ;-;-
07/2000;-;-;-;-;0,79 ;-;-;1,27 ;-;-
08/2000;-;-;-;-;0,72 ;-;-;1,19 ;-;-
09/2000;-;-;-;-;0,74 ;-;-;1,08 ;-;-
10/2000;-;-;-;-;0,74 ;-;-;1,20 ;-;-
11/2000;-;-;-;-;0,74 ;-;-;1,27 ;-;-
12/2000;-;-;-;-;0,72 ;-;-;1,31 ;-;-
01/2001;-;-;-;-;0,66 ;-;-;1,21 ;-;-
02/2001;-;-;-;-;0,59 ;-;-;1,21 ;-;-
03/2001;-;-;-;-;0,58 ;-;-;1,61 ;-;-
04/2001;-;-;-;-;0,57 ;-;-;1,55 ;-;-
05/2001;-;-;-;-;0,58 ;-;-;1,60 ;-;-
06/2001;-;-;-;-;0,55 ;-;-;1,39 ;-;-
07/2001;-;-;-;-;0,57 ;-;-;1,89 ;-;-
08/2001;-;-;-;-;0,57 ;-;-;1,90 ;-;-
09/2001;-;-;-;-;0,54 ;-;-;1,89 ;-;-
10/2001;-;-;-;-;0,55 ;-;-;1,88 ;-;-
11/2001;-;-;-;-;0,51 ;-;-;1,79 ;-;-
12/2001;-;-;-;-;0,48 ;-;-;1,86 ;-;-
01/2002;-;-;-;-;0,46 ;-;-;1,71 ;-;-
02/2002;-;-;-;-;0,44 ;-;-;1,67 ;-;-
03/2002;-;-;-;-;0,44 ;-;-;1,62 ;-;-
04/2002;-;-;-;-;0,45 ;-;-;1,60 ;-;-
05/2002;-;-;-;-;0,46 ;-;-;1,59 ;-;-
06/2002;-;-;-;-;0,46 ;-;-;1,62 ;-;-
07/2002;-;-;-;-;0,62 ;-;-;1,58 ;-;-
08/2002;-;-;-;-;0,85 ;-;-;1,83 ;-;-
09/2002;-;-;-;-;0,67 ;-;-;1,39 ;-;-
10/2002;-;-;-;-;0,73 ;-;-;1,70 ;-;-
11/2002;-;-;-;-;0,82 ;-;-;1,82 ;-;-
12/2002;-;-;-;-;0,76 ;-;-;1,75 ;-;-
01/2003;-;-;-;-;0,65 ;-;-;1,89 ;-;-
02/2003;-;-;-;-;0,63 ;-;-;1,90 ;-;-
03/2003;-;-;-;-;0,59 ;-;-;1,94 ;-;-
04/2003;-;-;-;-;0,56 ;-;-;1,89 ;-;-
05/2003;-;-;-;-;0,50 ;-;-;1,82 ;-;-
06/2003;-;-;-;-;0,46 ;-;-;1,81 ;-;-
07/2003;-;-;-;-;0,42 ;-;-;1,73 ;-;-
08/2003;-;-;-;-;0,43 ;-;-;1,64 ;-;-
09/2003;-;-;-;-;0,41 ;-;-;1,60 ;-;-
10/2003;-;-;-;-;0,43 ;-;-;1,50 ;-;-
11/2003;-;-;-;-;0,41 ;-;-;1,47 ;-;-
12/2003;-;-;-;-;0,41 ;-;-;1,37 ;-;-
01/2004;-;-;-;-;0,40 ;-;-;1,38 ;-;-
02/2004;-;-;-;-;0,40 ;-;-;1,35 ;-;-
03/2004;-;-;-;-;0,43 ;-;-;1,37 ;-;-
04/2004;-;-;-;-;0,40 ;-;-;1,43 ;-;-
05/2004;-;-;-;-;0,39 ;-;-;1,62 ;-;-
06/2004;-;-;-;-;0,44 ;-;-;1,52 ;-;-
07/2004;-;-;-;-;0,52 ;-;-;1,42 ;-;-
08/2004;-;-;-;-;0,46 ;-;-;1,48 ;-;-
09/2004;-;-;-;-;0,45 ;-;-;1,51 ;-;-
10/2004;-;-;-;-;0,45 ;-;-;1,51 ;-;-
11/2004;-;-;-;-;0,51 ;-;-;1,54 ;-;-
12/2004;-;-;-;-;0,45 ;-;-;1,53 ;-;-
01/2005;-;-;-;-;0,44 ;-;-;1,52 ;-;-
02/2005;-;-;-;-;0,46 ;-;-;1,52 ;-;-
03/2005;-;-;-;-;0,45 ;-;-;1,49 ;-;-
04/2005;-;-;-;-;0,48 ;-;-;1,58 ;-;-
05/2005;-;-;-;-;0,49 ;-;-;1,51 ;-;-
06/2005;-;-;-;-;0,47 ;-;-;1,46 ;-;-
