Data;25463 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Cheque especial - % a.m.;25464 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado - % a.m.;25465 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado vinculado à composição de dívidas - % a.m.;25466 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor privado - % a.m.;25467 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor público - % a.m.;25468 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal consignado para aposentados e pensionistas do INSS - % a.m.;25469 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal consignado total - % a.m.;25470 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal total - % a.m.;25471 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Aquisição de veículos - % a.m.;25472 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Aquisição de outros bens - % a.m.
07/1994;12,10 ;-;-;-;-;-;-;10,83 ;-;-
08/1994;10,88 ;-;-;-;-;-;-;9,22 ;-;-
09/1994;11,01 ;-;-;-;-;-;-;9,57 ;-;-
10/1994;11,39 ;-;-;-;-;-;-;9,94 ;-;-
11/1994;11,91 ;-;-;-;-;-;-;10,37 ;-;-
12/1994;11,79 ;-;-;-;-;-;-;10,13 ;-;-
01/1995;11,59 ;-;-;-;-;-;-;10,03 ;-;-
02/1995;11,63 ;-;-;-;-;-;-;10,23 ;-;-
03/1995;11,63 ;-;-;-;-;-;-;10,60 ;-;-
04/1995;11,96 ;-;-;-;-;-;-;11,05 ;-;-
05/1995;11,92 ;-;-;-;-;-;-;10,48 ;-;-
06/1995;11,86 ;-;-;-;-;-;-;10,18 ;-;-
07/1995;11,67 ;-;-;-;-;-;-;9,87 ;-;-
08/1995;11,47 ;-;-;-;-;-;-;9,91 ;-;-
09/1995;11,56 ;-;-;-;-;-;-;9,76 ;-;-
10/1995;11,09 ;-;-;-;-;-;-;9,51 ;-;-
11/1995;11,05 ;-;-;-;-;-;-;9,39 ;-;-
12/1995;10,80 ;-;-;-;-;-;-;9,06 ;-;-
